Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
IQOO,"IQOO Neo 7 5G (Interstellar Black, 256 GB)",,12 GB,256 GB,5000 mAh,6.78 inch,64MP Rear Camera,184,18,4.4,34769.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
SAMSUNG,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",,8 GB,128 GB,4500 mAh,6.4 inch,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,55490,5471,4.3,39999.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,30999.0
MOTOROLA,"MOTOROLA Edge 30 Fusion (Solar Gold, 128 GB)",,8 GB,128 GB,4400 mAh,6.55 inch,50MP + 13MP + 2MP | 32MP Front Camera,3585,559,4.3,34999.0
OPPO,"OPPO F21 Pro (Sunset Orange, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,64MP Rear Camera,4555,317,4.4,20999.0
OPPO,"OPPO F21s Pro 5G (Starlight Black, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,64MP + 2MP + 2MP | 16MP + 2MP Dual Front Camera,810,55,4.2,24375.0
Xiaomi,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",Mediatek Dimensity 920,6 GB,128 GB,4500 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,12092,1200,4.2,23999.0
vivo,"vivo Y35 (Dawn Gold, 128 GB)",Qualcomm Snapdragon 680,8 GB,128 GB,5000 mAh,6.58 inch,50MP + 2MP + 2MP | 16MP Front Camera,3200,211,4.4,22999.0
SAMSUNG,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",,8 GB,128 GB,4500 mAh,6.4 inch,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,55490,5471,4.3,39999.0
Tecno,"Tecno Phantom X (Summer Sunset, 256 GB)",,8 GB,256 GB,4700 mAh,6.7 inch,13MP Rear Camera,0,0,,21999.0
