,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
18,0.13646626472473145,0.005302739453758554,0.008837413787841798,0.007441633729431809,4,4,40,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 40}",0.9590145515610432,0.9608834524361134,0.9641488213426725,0.9417735975100788,0.9599949408575541,0.9571630727414924,0.007885750532895931,56
19,0.17331538200378419,0.0047790750932010595,0.012610054016113282,0.004380990732914215,4,4,50,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 50}",0.9552290162152708,0.9559432001050713,0.9627741315065732,0.942683157245149,0.9574710065500857,0.9548201023244299,0.006618577921222552,57
17,0.10545072555541993,0.007575663275859808,0.009533119201660157,0.004516895069089425,4,4,30,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 30}",0.9573436701847907,0.9526417108040768,0.9654144058028113,0.9347629665831813,0.9615934418043831,0.9543512390358486,0.010681017821261306,58
16,0.06554136276245118,0.003182142293913681,0.0094757080078125,0.005817622691045526,4,4,20,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 20}",0.9468882957465133,0.9507637801443909,0.9611042235969658,0.9446701405981996,0.9604693954534435,0.9527791671079026,0.0068259305372505436,59
15,0.04441061019897461,0.006377031936195471,0.0,0.0,4,4,10,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 10}",0.9484632926610775,0.9551165703633758,0.960195399226442,0.9318461932783609,0.9596897235557321,0.9510622358169977,0.010490916485550561,60
9,0.16598129272460938,0.008054332872249067,0.012985515594482421,0.00656147000540211,3,5,50,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 50}",0.9219128612727349,0.9211085905553407,0.9365334930912232,0.9032442795285384,0.9258474789695654,0.9217293406834806,0.010753961947907483,61
8,0.13104472160339356,0.013964928500097123,0.011185503005981446,0.006396344680420394,3,5,40,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 40}",0.9220472686705743,0.9209840787194514,0.9367231144753153,0.9015867536696227,0.9267581948831943,0.9216198820836317,0.011457949435812029,62
7,0.10836772918701172,0.008066239610169362,0.0031084060668945313,0.0062168121337890635,3,5,30,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 30}",0.9210872179483355,0.9215842008614368,0.9341534116219266,0.9038524688277947,0.9250526455752608,0.9211459889669509,0.009835815497262286,63
11,0.07687788009643555,0.007085500612960713,0.0033425331115722657,0.0066850662231445306,3,6,20,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 20}",0.9177451998144449,0.9195133587097477,0.9381756168853417,0.8983527318609663,0.9164638959912195,0.9180501606523439,0.012631491399044488,64
5,0.03961467742919922,0.006496476201162444,0.0029771804809570314,0.00432350584614761,3,5,10,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 10}",0.9176378301407623,0.9152885220761703,0.9339946208546088,0.8979981642566522,0.9232972564825157,0.9176432787621419,0.011754227196704744,65
6,0.06688671112060547,0.004453461953075719,0.009099340438842774,0.0059638533582797824,3,5,20,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 20}",0.9163472182337169,0.9222077047974166,0.93379505240218,0.8903786666941897,0.9247726337239678,0.9175002551702942,0.014679768692267413,66
12,0.11280527114868164,0.010699676178900719,0.006099176406860351,0.005824547201182074,3,6,30,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 30}",0.9167970536254726,0.914147793198357,0.9341611188532954,0.8997089812101868,0.9213039750724612,0.9172237843919546,0.011134930678821774,67
13,0.14916915893554689,0.007617629581520033,0.006728410720825195,0.007315842879534711,3,6,40,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 40}",0.9198902204601918,0.9135998271603287,0.9340191523830156,0.8981270489262583,0.9178495062184285,0.9166971510296446,0.011541381659378788,68
14,0.18561029434204102,0.009845988606747264,0.004841899871826172,0.0063357457707573644,3,6,50,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 50}",0.9151397698181357,0.9154712597396698,0.934220492327207,0.8973033702129782,0.9181695946032318,0.9160608973402447,0.011723979414683165,69
10,0.032588863372802736,0.0037964667996683785,0.012630128860473632,0.0036692337793530587,3,6,10,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 10}",0.9070487170474041,0.9161635369726661,0.933728772458113,0.9016208937889421,0.9182160647060225,0.9153555969946296,0.010991405240040249,70
2,0.09043068885803222,0.008931895176392486,0.007713031768798828,0.0049657006515287415,3,4,30,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 30}",0.915117792477615,0.9157379947689079,0.9262668012989188,0.8897929011451929,0.9146564125041176,0.9123143804389505,0.012057797856706002,71
3,0.12195429801940919,0.009473976947366526,0.009446525573730468,0.005824480190029225,3,4,40,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 40}",0.9103630456691871,0.9148637970919405,0.9225964785474624,0.8954797945586048,0.9123351052987647,0.911127644233192,0.008858789661568351,72
1,0.060240888595581056,0.004532420062812957,0.008196687698364258,0.004967218001993494,3,4,20,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 20}",0.9155505600485742,0.9048602000236102,0.9218425988091762,0.8951120713715088,0.9180839857758306,0.9110898832057399,0.009782999796231552,73
4,0.1517488956451416,0.00542869771341904,0.012999629974365235,0.005498379990606672,3,4,50,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 50}",0.9111636800632632,0.9115451855316822,0.9235884878905118,0.8921285000327989,0.9147079846520039,0.9106267676340518,0.010275993333914164,74
0,0.03266973495483398,0.00432957276079874,0.008715391159057617,0.006451021079414848,3,4,10,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 10}",0.900844854988114,0.9173987221376724,0.9146993593641448,0.8946697120280037,0.9087161788610592,0.9072657654757987,0.008484426695386994,75
